id,source,prolific_pid,study_id,session_id,condition_type,task_order,informative_task_index,normative_task_index,created_at,finished_at,participant_no
a2cfe6e1-7f54-4be5-96a4-40997af9bf83,prolific,669177c66d14fd83c2a18125,68c05d68bc8abb0714642f7a,68c0615975003a29c55a7a35,minority,normativeFirst,1,0,2025-09-09T17:18:50Z,NA,38
b2f2cdd4-44e9-4283-b632-ff9f49664bf0,prolific,6658d2982faf93a372286bab,68c05d68bc8abb0714642f7a,68c065b0b706ad27ec3a6257,minorityDiffusion,normativeFirst,5,2,2025-09-09T17:36:58Z,NA,114
b79165a8-7c4f-43ee-a757-436f194d9e4e,prolific,855A138E87N72961Lg6CF63S,50U77R9390U1fY5Wx9e49785,04f39z14027A2P5r7160tn00,minority,informativeFirst,4,2,2025-09-09T14:49:41Z,NA,17
c480d166-1673-431f-a22f-167e373927ba,prolific,8j58N3C087172Z6170I496P4,50U77R9390U1fY5Wx9e49785,04f39z140w782Pxr7n6u3500,minority,informativeFirst,4,5,2025-09-09T14:47:21Z,NA,11
c4a05007-d05c-4c31-ad2a-bdd43c99c96f,prolific,614ad1d11ebbb70be136b832,68c05d68bc8abb0714642f7a,68c064bb9c1f371e5cfcd2da,minority,informativeFirst,4,5,2025-09-09T17:33:07Z,NA,107
d290402e-26f6-4447-883e-620e7f93c8bb,prolific,67673cda94b4d0cf1a6a7382,68c05d68bc8abb0714642f7a,68c06353b85f9643dad11503,majority,informativeFirst,0,3,2025-09-09T17:26:53Z,NA,55
d2b20821-42b6-4816-87d4-6b927756c0da,prolific,607778a26ff3de83125f50c5,68c03b0330a5bf7db9a38960,68c0410c6b51dd7f8f6e377f,minorityDiffusion,informativeFirst,2,1,2025-09-09T15:00:37Z,NA,27
dc0f4e80-3611-4b26-9da5-7b10fc6728f6,prolific,test-1757438691103-upp481,TEST_STUDY,TEST_SESSION,minority,informativeFirst,4,5,2025-09-09T17:24:53Z,NA,83
ee975522-4d2f-4568-be95-cda9b4d58b20,prolific,668ebf594982c57c983cd910,68c05d68bc8abb0714642f7a,68c0615b817e58c94c7004e7,minorityDiffusion,normativeFirst,5,5,2025-09-09T17:18:48Z,NA,36
fdaeb938-314c-4e49-a47d-19672e156db3,prolific,671a6761c985926dac72ad08,68c05d68bc8abb0714642f7a,68c063d1cef4b1126a1d218b,minorityDiffusion,informativeFirst,2,4,2025-09-09T17:31:40Z,NA,105
