id,participant_id,participant_no,condition_id,condition_type,task_order,task_type,survey_number,perceived_compliance_1,perceived_compliance_2,perceived_compliance_3,perceived_compliance_4,perceived_conversion_1,perceived_conversion_2,perceived_conversion_3,perceived_conversion_4,concentration_test,agent_competence,agent_predictability,agent_integrity,agent_understanding,agent_utility,agent_affect,agent_trust,agent1_competence,agent1_predictability,agent1_integrity,agent1_understanding,agent1_utility,agent1_affect,agent1_trust,agent3_competence,agent3_predictability,agent3_integrity,agent3_understanding,agent3_utility,agent3_affect,agent3_trust,created_at
04ed0230-6602-494e-b916-4228cd91e9fb,93c35761-c7dd-49aa-94f9-6420fc5f0b78,60,60.0,minorityDiffusion,normativeFirst,informative,2,1,1,1,1,6,7,7,7,4,,,,,,,,4.0,6.0,3.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,2025-09-09 17:49:36.775761+00:00
66597447-91ba-4ba5-a4b1-4682c516c6e1,93c35761-c7dd-49aa-94f9-6420fc5f0b78,60,60.0,minorityDiffusion,normativeFirst,normative,1,1,1,2,2,2,7,7,7,4,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2025-09-09 17:36:39.595877+00:00
4d9f944f-d761-480e-a5a8-3243d6b5430a,5ee36000-9570-49d1-9020-94e47b4fc598,61,61.0,majority,informativeFirst,informative,1,2,1,1,4,2,6,3,6,4,3.0,6.0,4.0,3.0,4.0,2.0,2.0,,,,,,,,,,,,,,,2025-09-09 17:34:43.323020+00:00
73f357f0-74c8-4763-8538-ad45b507ea8b,5ee36000-9570-49d1-9020-94e47b4fc598,61,61.0,majority,informativeFirst,normative,2,5,2,1,3,4,5,3,4,4,5.0,5.0,2.0,5.0,5.0,4.0,4.0,,,,,,,,,,,,,,,2025-09-09 17:45:16.692280+00:00
b53bf9e7-9905-47f2-a0ee-98fd34cf981a,eae01319-0414-4f8b-b125-d4487bbeda7f,62,62.0,minority,normativeFirst,informative,2,2,2,1,1,2,7,6,7,4,,,,,,,,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,2.0,5.0,5.0,5.0,2025-09-09 17:59:21.691558+00:00
2a8a35b3-473d-4a43-b57e-512ad07e1067,eae01319-0414-4f8b-b125-d4487bbeda7f,62,62.0,minority,normativeFirst,normative,1,5,2,2,3,6,6,6,6,4,,,,,,,,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,2025-09-09 17:42:34.653315+00:00
e154b891-a99a-457c-a7eb-da6fbdef4c29,1b52f199-6ea6-4a97-bcae-73fadd8581e3,63,63.0,minorityDiffusion,informativeFirst,informative,1,5,2,2,2,2,5,5,4,4,,,,,,,,5.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,2025-09-09 17:50:12.256917+00:00
36b72c7a-f453-4184-8073-833ad186f029,1b52f199-6ea6-4a97-bcae-73fadd8581e3,63,63.0,minorityDiffusion,informativeFirst,normative,2,3,4,2,2,6,2,3,5,4,,,,,,,,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,2025-09-09 18:04:04.735331+00:00
65c31b7a-cdf3-4724-a3ae-0f7af43645fc,9d180490-c5b0-4d42-839f-a978a6afa540,64,64.0,majority,normativeFirst,informative,2,7,4,1,1,7,7,4,7,4,7.0,6.0,6.0,5.0,6.0,6.0,5.0,,,,,,,,,,,,,,,2025-09-09 18:04:00.701527+00:00
d53de7ce-ec56-4230-9a8c-cf626929288f,9d180490-c5b0-4d42-839f-a978a6afa540,64,64.0,majority,normativeFirst,normative,1,1,1,1,1,1,1,6,7,4,7.0,6.0,5.0,6.0,5.0,5.0,5.0,,,,,,,,,,,,,,,2025-09-09 17:51:12.247068+00:00
