Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68c03dd45dddbc3076e57246,55c495d2fdf99b2d6cabb691,APPROVED,Not Applicable,2025-09-09T14:46:50.191000Z,2025-09-09T15:15:22.036000Z,2025-09-09T15:15:22.522000Z,2025-09-09T15:15:22.425714Z,1712.0,CBUP19R5,2800,English,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68c03ddad81d68d319fbe6c3,59bc25620ac77f0001f05574,APPROVED,Not Applicable,2025-09-09T14:47:17.060000Z,2025-09-09T15:16:47.897000Z,2025-09-09T15:16:49.469000Z,2025-09-09T15:16:48.311799Z,1771.0,CBUP19R5,2467,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
68c03def728b1f943072b66f,65c242831388550b0a42bd25,APPROVED,Not Applicable,2025-09-09T14:47:16.567000Z,2025-09-09T15:12:22.289000Z,2025-09-09T15:12:22.801000Z,2025-09-09T15:12:22.702317Z,1506.0,CBUP19R5,2528,"Welsh, French, English",47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
68c03df4948dd38dcce7691f,5ee5defbfe74a3000d106f51,APPROVED,Not Applicable,2025-09-09T14:47:20.194000Z,2025-09-09T15:05:13.235000Z,2025-09-09T15:05:14.958000Z,2025-09-09T15:05:13.587376Z,1074.0,CBUP19R5,5524,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
68c03e0e352f7f6be6d957d8,56aa2ab9402d62000c7096f2,APPROVED,Not Applicable,2025-09-09T14:47:51.116000Z,2025-09-09T15:07:53.659000Z,2025-09-09T15:07:55.716000Z,2025-09-09T15:07:54.097871Z,1203.0,CBUP19R5,3987,English,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68c03e79593c7d0f8814fa72,665e750c97f12272bd9ab99e,APPROVED,Not Applicable,2025-09-09T14:49:33.200000Z,2025-09-09T15:17:21.999000Z,2025-09-09T15:17:27.521000Z,2025-09-09T15:17:22.397406Z,1669.0,CBUP19R5,1926,English,37,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
68c03e7e560c19878bfc565e,5eca536f9aa4f658d641a7d9,APPROVED,Not Applicable,2025-09-09T14:49:40.786000Z,2025-09-09T15:34:09.217000Z,2025-09-09T15:34:09.687000Z,2025-09-09T15:34:09.602732Z,2669.0,CBUP19R5,2822,English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68c03e8feca71426c3f76a1c,67ccc62a623f466a4ad19371,APPROVED,Not Applicable,2025-09-09T14:50:25.748000Z,2025-09-09T15:24:55.644000Z,2025-09-09T15:24:56.142000Z,2025-09-09T15:24:56.041330Z,2070.0,CBUP19R5,1527,English,50,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68c03ea4fa5abbf70e2cce11,5d332957d0635b00013bd785,APPROVED,Not Applicable,2025-09-09T14:53:35.980000Z,2025-09-09T15:26:42.076000Z,2025-09-09T15:26:44.179000Z,2025-09-09T15:26:42.471746Z,1987.0,CBUP19R5,9227,"English, Japanese",30,Male,White,United States,United States,United States,English,No,Full-Time
68c03eb52e01e1c73ee3872b,66faeeeafd0c076eec88cfcb,APPROVED,Not Applicable,2025-09-09T14:50:33.980000Z,2025-09-09T15:35:31.716000Z,2025-09-09T15:35:34.498000Z,2025-09-09T15:35:32.085637Z,2698.0,CBUP19R5,1044,English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
