measure,task_type,pattern,n,mean,sd
conversion_mean,Normative,Diffusion,43,4.558139534883721,1.033425316521881
conversion_mean,Normative,All,127,4.519685039370079,1.1745508678990195
conversion_mean,Informative,Majority,41,4.670731707317073,1.1864324469684366
conversion_mean,Informative,Minority,43,4.813953488372093,1.1815710677997122
conversion_mean,Informative,Diffusion,43,4.703488372093023,1.087340319357131
conversion_mean,Informative,All,127,4.730314960629921,1.1446070490949698
conversion_mean,All,Majority,41,4.576219512195122,1.0661254502213875
conversion_mean,All,Minority,43,4.665697674418604,1.0855246599573019
conversion_mean,All,Diffusion,43,4.630813953488372,0.9468594267822329
conversion_mean,All,All,127,4.625,1.0265570828962431
opinion_delta_abs,Normative,Majority,41,11.103658536585368,12.943504115211143
opinion_delta_abs,Normative,Minority,43,10.5,11.123093737162979
opinion_delta_abs,Normative,Diffusion,43,10.819767441860465,9.880736064824536
opinion_delta_abs,Normative,All,127,10.803149606299211,11.270775786370992
opinion_delta_abs,Informative,Majority,41,31.23170731707317,21.82561498588746
opinion_delta_abs,Informative,Minority,43,23.691860465116278,21.645674620801042
opinion_delta_abs,Informative,Diffusion,43,17.66860465116279,15.478741271175052
opinion_delta_abs,Informative,All,127,24.086614173228345,20.44479058965188
opinion_delta_abs,All,Majority,41,21.16768292682927,10.85125315905731
opinion_delta_abs,All,Minority,43,17.09593023255814,13.458596042953275
opinion_delta_abs,All,Diffusion,43,14.244186046511627,9.64846989659578
opinion_delta_abs,All,All,127,17.444881889763778,11.697744041504002
